Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,AQI Value_Normalized,CO AQI Value_Normalized,Ozone AQI Value_Normalized,NO2 AQI Value_Normalized,PM2.5 AQI Value_Normalized
belgium,wetteren,64,moderate,1,good,32,good,6,good,64,moderate,0.11740890688259109,0.007518796992481203,0.13617021276595745,0.06593406593406594,0.128
canada,whitehorse,20,good,1,good,20,good,1,good,10,good,0.02834008097165992,0.007518796992481203,0.0851063829787234,0.01098901098901099,0.02
ireland,wicklow,38,good,1,good,30,good,3,good,38,good,0.06477732793522267,0.007518796992481203,0.1276595744680851,0.03296703296703297,0.076
switzerland,wil,59,moderate,1,good,27,good,3,good,59,moderate,0.10728744939271255,0.007518796992481203,0.1148936170212766,0.03296703296703297,0.11800000000000001
germany,wildeshausen,67,moderate,1,good,30,good,5,good,67,moderate,0.12348178137651822,0.007518796992481203,0.1276595744680851,0.05494505494505495,0.134
united states of america,williamsport,75,moderate,2,good,13,good,16,good,75,moderate,0.13967611336032387,0.015037593984962405,0.055319148936170216,0.17582417582417584,0.15
united states of america,fox lake,60,moderate,2,good,18,good,21,good,60,moderate,0.10931174089068826,0.015037593984962405,0.07659574468085106,0.23076923076923078,0.12
brazil,foz do iguacu,22,good,1,good,13,good,0,good,22,good,0.032388663967611336,0.007518796992481203,0.055319148936170216,0.0,0.044
denmark,frederikssund,36,good,1,good,36,good,0,good,25,good,0.060728744939271245,0.007518796992481203,0.15319148936170213,0.0,0.05
united states of america,friendly,41,good,1,good,30,good,8,good,41,good,0.0708502024291498,0.007518796992481203,0.1276595744680851,0.08791208791208792,0.082
germany,fuldatal,44,good,1,good,28,good,2,good,44,good,0.07692307692307693,0.007518796992481203,0.11914893617021277,0.02197802197802198,0.088
japan,furano,29,good,1,good,26,good,1,good,29,good,0.04655870445344129,0.007518796992481203,0.11063829787234043,0.01098901098901099,0.058
china,fuzhou,168,unhealthy,3,good,168,unhealthy,5,good,99,moderate,0.32793522267206476,0.022556390977443608,0.7148936170212766,0.05494505494505495,0.198
united kingdom of great britain and northern ireland,galashiels,25,good,1,good,25,good,3,good,23,good,0.038461538461538464,0.007518796992481203,0.10638297872340426,0.03296703296703297,0.046
germany,gangelt,41,good,1,good,26,good,4,good,41,good,0.0708502024291498,0.007518796992481203,0.11063829787234043,0.04395604395604396,0.082
germany,garbsen,36,good,0,good,33,good,1,good,36,good,0.060728744939271245,0.0,0.14042553191489363,0.01098901098901099,0.07200000000000001
cameroon,garoua,59,moderate,2,good,12,good,0,good,59,moderate,0.10728744939271255,0.015037593984962405,0.05106382978723405,0.0,0.11800000000000001
somalia,garowe,98,moderate,0,good,17,good,0,good,98,moderate,0.1862348178137652,0.0,0.0723404255319149,0.0,0.196
netherlands,geertruidenberg,35,good,0,good,33,good,2,good,35,good,0.058704453441295545,0.0,0.14042553191489363,0.02197802197802198,0.07
australia,geraldton,29,good,0,good,29,good,0,good,13,good,0.04655870445344129,0.0,0.12340425531914893,0.0,0.026000000000000002
germany,germersheim,51,moderate,1,good,29,good,3,good,51,moderate,0.09109311740890688,0.007518796992481203,0.12340425531914893,0.03296703296703297,0.10200000000000001
colombia,girardot,103,unhealthy for sensitive groups,4,good,9,good,6,good,103,unhealthy for sensitive groups,0.19635627530364372,0.03007518796992481,0.03829787234042553,0.06593406593406594,0.20600000000000002
russian federation,glubokiy,35,good,1,good,35,good,0,good,17,good,0.058704453441295545,0.007518796992481203,0.14893617021276595,0.0,0.034
united kingdom of great britain and northern ireland,golborne,35,good,1,good,30,good,4,good,35,good,0.058704453441295545,0.007518796992481203,0.1276595744680851,0.04395604395604396,0.07
